num,freq,rsi,slope,knn,svm,markov,pca,total_score
1,0.5000000000000001,0.33333333333333337,0.5522203947368423,0.0,0.7504727898395259,0.5799933755805878,0.7822544805374885,2.024840202714037
2,0.7142857142857143,0.5,0.6961348684210527,0.33333333333333337,0.47578760216005145,0.8840235038146006,0.48315509156461867,2.181328848896308
3,0.2857142857142857,0.6,0.37726151315789497,0.0,0.5926677366478487,0.6802014712999372,0.4750468448788634,1.6348806696045144
4,0.2857142857142857,1.0,0.3423108552631578,0.0,0.47372182422682985,0.5290921443865947,0.5935599107590607,1.6771323179002788
5,0.4285714285714285,0.0,0.5333059210526319,0.0,1.0,0.3948066190356089,0.8951837850303974,1.9197858821551754
6,0.3571428571428571,1.0,0.658922697368421,0.0,0.17802772143706336,0.3652858185342128,0.40916590810284925,1.5459522937358088
7,0.0,0.0,0.2966694078947368,0.33333333333333337,0.0934023097737936,0.23533571820234822,0.2265970290725552,0.7433871784910334
8,0.7857142857142857,0.6666666666666667,0.4930098684210526,0.33333333333333337,0.5256140877863397,1.0,0.8023829120031896,2.5130683483373653
9,0.5714285714285713,0.625,0.2958470394736841,0.0,0.40872824662560037,0.42359709485267405,0.13672396349506122,1.097340932430463
10,0.9285714285714287,0.0,0.8318256578947374,0.33333333333333337,0.5832456013212363,0.7394715913646129,0.7306329967853789,2.348973849839538
11,0.2857142857142857,0.6666666666666667,0.12088815789473678,0.0,0.09829563111246686,0.22273820259370603,0.0,0.5554421662278993
12,0.5714285714285713,0.4285714285714286,0.636513157894737,0.0,0.06548003628513432,0.5242358948730391,0.4927673203398244,1.5804947918019785
13,0.3571428571428571,0.5,0.19695723684210548,0.0,0.7359047049992186,0.4640733508150904,0.5521061386921311,1.4969440226444173
14,0.1428571428571428,0.5,0.0,0.33333333333333337,0.15105785276862738,0.7382131272350835,0.288077600473708,1.178561649766274
15,0.4285714285714285,0.33333333333333337,0.5573601973684212,0.6666666666666667,0.3388254938591404,0.46235784856179307,0.4996644282066772,1.7678381667625678
16,0.5000000000000001,0.6666666666666667,0.6817434210526321,1.0,0.5558962964795479,0.5821407525270234,0.2958946573862451,2.0269099510024144
17,0.5714285714285713,0.0,1.0000000000000002,0.33333333333333337,0.35870419690488875,0.19594031936489864,0.06569077961687275,1.2791846009196648
18,0.3571428571428571,0.5,0.3480674342105265,0.0,0.4676970790369911,0.3489284182326028,0.6850008010083113,1.5366010440689102
19,0.2857142857142857,0.5,0.47882401315789475,0.33333333333333337,0.4582423321432867,0.35793897458434987,0.27064872298140663,1.3360682473500993
20,0.8571428571428571,0.5,0.8460115131578947,0.0,0.9712332987035398,0.9107002514587478,0.9826909070103345,2.8560633909849336
21,0.5000000000000001,0.5,0.8040707236842106,0.33333333333333337,0.5173967556003692,0.7981140886536923,0.7401054280810166,2.396555164235114
22,0.1428571428571428,0.0,0.3250411184210528,0.0,0.7117095841517752,0.2672669412796719,0.37001844477181145,1.0553739255111296
23,0.5000000000000001,0.5,0.6108141447368425,0.33333333333333337,0.2948246855003308,0.7765036759090583,0.6141294397878556,2.0312399137333057
24,0.4285714285714285,0.6666666666666667,0.6153371710526319,0.6666666666666667,0.519067820138616,0.8298940385492058,0.5575446470341833,2.273807267611081
25,0.5714285714285713,0.5,0.9420230263157896,0.33333333333333337,0.6073823103481258,0.28337329247104337,0.05551720979463309,1.501723341316077
26,0.9999999999999999,0.25,0.8797286184210529,0.0,0.45339725992856095,0.6196921985757499,0.5558534643868621,2.07563374057225
27,0.2142857142857143,0.5,0.29296875000000017,0.0,0.5629807780623969,0.3438334087260927,0.37648830533498434,1.1761262363452913
28,0.2142857142857143,0.5,0.22697368421052627,0.33333333333333337,0.6796248788833167,0.910893366158931,0.5134371444131183,1.8229762384077364
29,0.1428571428571428,0.5,0.4261924342105265,0.0,0.36261843522046877,0.2061373607306528,0.17628989986010712,0.9132800203912069
30,0.2857142857142857,1.0,0.3704769736842109,0.6666666666666667,0.14829420071325194,0.3267983513856566,0.5652273766889971,1.7425949334712565
31,0.5000000000000001,0.5555555555555556,0.46833881578947384,0.33333333333333337,0.1067718589823835,0.3720000655419592,0.5771598421517723,1.6329052913551294
32,0.5000000000000001,0.6666666666666667,0.5053453947368425,0.33333333333333337,0.5981502912777193,0.44514518421679405,1.0,2.278277891243339
33,0.0,0.5,0.18421052631578955,0.33333333333333337,0.13944840665524483,0.4271565498946944,0.0778308649301227,0.8068027381494464
34,0.2857142857142857,0.5,0.1504934210526318,0.0,0.32335454330051794,0.4397695731989567,0.2107136007530631,0.9355160397048815
35,0.5000000000000001,0.33333333333333337,0.6363075657894739,0.33333333333333337,0.3158827703324638,0.28248437965413753,0.6290856719672594,1.7200457987113367
36,0.1428571428571428,1.0,0.2514391447368423,0.0,0.50731122524328,0.4908940566902834,0.19227093737123635,1.1647594855020238
37,0.3571428571428571,1.0,0.36163651315789475,0.0,0.11801883727335027,0.0,0.30032403364857385,1.0131133379618757
38,0.4285714285714285,0.5,0.7613075657894741,0.33333333333333337,0.6576689866725386,0.7430957105713917,0.2577542702882487,1.8727522699783723
39,0.2857142857142857,0.6,0.4259868421052631,0.0,0.0,0.4297118084957595,0.07493186753753567,0.9181207662743714
